psc;ZUJ;ZUJ_pravdepodobnost
92210;507679;1.0
92209;506834;1.0
92208;507482;0.21305841924398625
92208;507725;0.42061855670103093
92208;507008;0.3663230240549828
92207;507431;0.168004757656854
92207;507709;0.831995242343146
92206;507369;1.0
92205;507121;1.0
92204;506982;0.6574257425742575
92204;507199;0.3425742574257426
92203;558397;0.045941807044410414
92203;556548;0.07519142419601837
92203;507750;0.8788667687595713
92202;507229;1.0
92201;558354;0.11588275391956374
92201;507385;0.4103612815269257
92201;556572;0.3612815269256987
92101;507440;0.9276785415060826
92101;581399;0.07232145849391736
90880;556114;1.0
90879;504220;1.0
90878;504491;1.0
90877;504238;0.9532191945985049
90877;504211;0.046780805401495054
90876;504521;1.0
90871;504572;1.0
90843;504319;1.0
90842;504823;1.0
90841;504891;1.0
90801;504513;1.0
90645;504904;1.0
90635;504645;0.45103857566765576
90634;504726;1.0
90633;504297;1.0
90632;504416;1.0
90631;504360;1.0
90612;504602;0.47540983606557374
90612;504386;0.5245901639344263
90611;504700;1.0
90607;504882;1.0
90605;504653;0.30366748166259167
90605;504840;0.6963325183374083
90604;504327;0.413059427732942
90604;556122;0.280997798972854
90604;556131;0.30594277329420394
90603;504475;0.5426781519185592
90603;504831;0.4573218480814409
90602;504335;1.0
90501;504203;0.9715975752835354
90501;504777;0.021216269065310912
90901;504815;1.0
90885;504271;1.0
90865;504564;1.0
90864;504394;1.0
90863;504599;0.11107986501687289
90863;504483;0.04049493813273341
90863;504548;0.09336332958380203
90863;504742;0.5
90862;504343;1.0
90861;504670;1.0
90851;504912;0.02478476389251239
90851;504378;0.9752152361074876
90849;504432;0.3098311817279047
90849;504718;0.2671300893743793
90849;504963;0.423038728897716
90848;504459;1.0
90847;504734;1.0
90846;504939;1.0
90845;504351;1.0
90844;504530;0.31605562579013907
90844;504611;0.683944374209861
91965;507059;0.10010851871947911
91965;507351;0.1068909386869235
91965;506923;0.660607704829083
91965;507041;0.13239283776451438
91961;506826;0.007083377572843513
91961;507512;0.0251634333904655
91961;506745;0.9677531890366909
91955;507164;1.0
91954;506915;1.0
91953;506893;1.0
91952;506931;1.0
91951;507601;1.0
91943;506877;1.0
91942;556556;0.20140688633839318
91942;507741;0.5957052943354313
91942;556564;0.2028878193261755
91935;581020;1.0
91934;580473;0.035902627721784854
91934;506745;0.9640973722782151
91932;556491;1.0
91930;507156;1.0
91929;507318;1.0
91928;506851;1.0
91927;556661;0.23378141437755698
91927;506842;0.766218585622443
91926;507768;1.0
91925;507636;1.0
91924;556483;1.0
91923;556513;1.0
91922;507296;1.0
91921;507776;1.0
91910;506869;1.0
91909;556670;0.38497061293031065
91909;506796;0.6150293870696893
91908;506818;1.0
91907;506788;1.0
91905;507687;1.0
91904;556688;0.15328467153284672
91904;507555;0.8467153284671532
91903;507067;1.0
91902;506940;1.0
91901;507571;0.5022810218978102
91901;556599;0.10059306569343066
91901;581488;0.20916970802919707
91901;507211;0.18795620437956204
91708;506745;1.0
91705;506745;1.0
91702;506745;1.0
91701;506745;1.0
91771;506745;1.0
90863;556653;0.11670416197975253
95704;542652;1.0
95703;542822;0.052948817874772666
95703;542652;0.8995063652896856
95703;505412;0.03206027539620681
95703;542857;0.006443232008313848
95703;505056;0.009041309431021044
95701;542652;0.926415498233972
95701;542849;0.03146740875521781
95701;542741;0.02697206464732955
95701;505153;0.015145028363480681
95655;542873;0.2736175115207373
95655;542890;0.21255760368663595
95655;505692;0.2868663594470046
95655;556289;0.2269585253456221
95654;505072;0.22073039742212675
95654;545651;0.3651987110633727
95654;505447;0.2787325456498389
95653;543080;0.24148003894839337
95653;505480;0.09639727361246349
95653;505471;0.22005842259006816
95653;505595;0.019961051606621226
95653;505544;0.07254138266796495
95653;542806;0.053554040895813046
95652;505579;0.22888283378746593
95652;505358;0.42415985467756584
95641;505625;0.5016404199475065
95641;542920;0.16601049868766404
95641;505811;0.14698162729658792
95641;505633;0.012795275590551181
95641;505277;0.013123359580052493
95641;543136;0.1594488188976378
95638;556742;0.11286089238845144
95638;556408;0.09886264216972879
95638;505552;0.2230971128608924
95638;556360;0.0621172353455818
95638;505684;0.24234470691163604
95637;542776;0.08480268681780016
95637;505102;0.3434089000839631
95637;505790;0.5717884130982368
95636;556793;0.11429813124728379
95636;505455;0.6592785745328118
